#           k/h    P           
   0.100000E-03   0.143505E+02
   0.102020E-03   0.146293E+02
   0.104081E-03   0.149135E+02
   0.106184E-03   0.152033E+02
   0.108329E-03   0.154986E+02
   0.110517E-03   0.157997E+02
   0.112750E-03   0.161066E+02
   0.115027E-03   0.164195E+02
   0.117351E-03   0.167385E+02
   0.119722E-03   0.170636E+02
   0.122140E-03   0.173951E+02
   0.124608E-03   0.177330E+02
   0.127125E-03   0.180774E+02
   0.129693E-03   0.184286E+02
   0.132313E-03   0.187865E+02
   0.134986E-03   0.191514E+02
   0.137713E-03   0.195233E+02
   0.140495E-03   0.199025E+02
   0.143333E-03   0.202891E+02
   0.146228E-03   0.206831E+02
   0.149182E-03   0.210848E+02
   0.152196E-03   0.214942E+02
   0.155271E-03   0.219116E+02
   0.158407E-03   0.223371E+02
   0.161607E-03   0.227709E+02
   0.164872E-03   0.232130E+02
   0.168203E-03   0.236637E+02
   0.171601E-03   0.241232E+02
   0.175067E-03   0.245915E+02
   0.178604E-03   0.250689E+02
   0.182212E-03   0.255556E+02
   0.185893E-03   0.260517E+02
   0.189648E-03   0.265574E+02
   0.193479E-03   0.270729E+02
   0.197388E-03   0.275984E+02
   0.201375E-03   0.281341E+02
   0.205443E-03   0.286801E+02
   0.209594E-03   0.292367E+02
   0.213828E-03   0.298040E+02
   0.218147E-03   0.303823E+02
   0.222554E-03   0.309718E+02
   0.227050E-03   0.315728E+02
   0.231637E-03   0.321853E+02
   0.236316E-03   0.328097E+02
   0.241090E-03   0.334461E+02
   0.245960E-03   0.340948E+02
   0.250929E-03   0.347561E+02
   0.255998E-03   0.354301E+02
   0.261170E-03   0.361171E+02
   0.266446E-03   0.368174E+02
   0.271828E-03   0.375312E+02
   0.277319E-03   0.382588E+02
   0.282922E-03   0.390004E+02
   0.288637E-03   0.397563E+02
   0.294468E-03   0.405268E+02
   0.300417E-03   0.413121E+02
   0.306485E-03   0.421126E+02
   0.312677E-03   0.429284E+02
   0.318993E-03   0.437600E+02
   0.325437E-03   0.446075E+02
   0.332012E-03   0.454713E+02
   0.338719E-03   0.463518E+02
   0.345561E-03   0.472491E+02
   0.352542E-03   0.481637E+02
   0.359664E-03   0.490958E+02
   0.366930E-03   0.500458E+02
   0.374342E-03   0.510141E+02
   0.381904E-03   0.520008E+02
   0.389619E-03   0.530065E+02
   0.397490E-03   0.540315E+02
   0.405520E-03   0.550760E+02
   0.413712E-03   0.561405E+02
   0.422070E-03   0.572253E+02
   0.430596E-03   0.583309E+02
   0.439295E-03   0.594575E+02
   0.448169E-03   0.606056E+02
   0.457222E-03   0.617756E+02
   0.466459E-03   0.629678E+02
   0.475882E-03   0.641828E+02
   0.485496E-03   0.654208E+02
   0.495303E-03   0.666823E+02
   0.505309E-03   0.679677E+02
   0.515517E-03   0.692775E+02
   0.525931E-03   0.706121E+02
   0.536556E-03   0.719719E+02
   0.547395E-03   0.733574E+02
   0.558453E-03   0.747691E+02
   0.569734E-03   0.762074E+02
   0.581244E-03   0.776727E+02
   0.592986E-03   0.791656E+02
   0.604965E-03   0.806865E+02
   0.617186E-03   0.822359E+02
   0.629654E-03   0.838144E+02
   0.642374E-03   0.854224E+02
   0.655350E-03   0.870604E+02
   0.668589E-03   0.887289E+02
   0.682096E-03   0.904285E+02
   0.695875E-03   0.921597E+02
   0.709933E-03   0.939230E+02
   0.724274E-03   0.957189E+02
   0.738906E-03   0.975481E+02
   0.753832E-03   0.994110E+02
   0.769061E-03   0.101308E+03
   0.784597E-03   0.103240E+03
   0.800447E-03   0.105208E+03
   0.816617E-03   0.107211E+03
   0.833114E-03   0.109251E+03
   0.849944E-03   0.111329E+03
   0.867114E-03   0.113444E+03
   0.884631E-03   0.115597E+03
   0.902501E-03   0.117789E+03
   0.920733E-03   0.120021E+03
   0.939333E-03   0.122293E+03
   0.958309E-03   0.124606E+03
   0.977668E-03   0.126960E+03
   0.997418E-03   0.129356E+03
   0.101757E-02   0.131794E+03
   0.103812E-02   0.134276E+03
   0.105910E-02   0.136802E+03
   0.108049E-02   0.139372E+03
   0.110232E-02   0.141987E+03
   0.112459E-02   0.144648E+03
   0.114730E-02   0.147355E+03
   0.117048E-02   0.150110E+03
   0.119413E-02   0.152911E+03
   0.121825E-02   0.155762E+03
   0.124286E-02   0.158661E+03
   0.126797E-02   0.161609E+03
   0.129358E-02   0.164608E+03
   0.131971E-02   0.167657E+03
   0.134637E-02   0.170758E+03
   0.137357E-02   0.173911E+03
   0.140132E-02   0.177117E+03
   0.142963E-02   0.180375E+03
   0.145851E-02   0.183688E+03
   0.148797E-02   0.187055E+03
   0.151803E-02   0.190478E+03
   0.154870E-02   0.193956E+03
   0.157998E-02   0.197490E+03
   0.161190E-02   0.201081E+03
   0.164446E-02   0.204730E+03
   0.167768E-02   0.208437E+03
   0.171158E-02   0.212202E+03
   0.174615E-02   0.216027E+03
   0.178143E-02   0.219912E+03
   0.181741E-02   0.223856E+03
   0.185413E-02   0.227862E+03
   0.189158E-02   0.231929E+03
   0.192980E-02   0.236058E+03
   0.196878E-02   0.240249E+03
   0.200855E-02   0.244504E+03
   0.204913E-02   0.248821E+03
   0.209052E-02   0.253202E+03
   0.213276E-02   0.257648E+03
   0.217584E-02   0.262158E+03
   0.221979E-02   0.266733E+03
   0.226464E-02   0.271373E+03
   0.231039E-02   0.276079E+03
   0.235706E-02   0.280851E+03
   0.240467E-02   0.285690E+03
   0.245325E-02   0.290595E+03
   0.250281E-02   0.295566E+03
   0.255337E-02   0.300605E+03
   0.260495E-02   0.305711E+03
   0.265758E-02   0.310884E+03
   0.271126E-02   0.316124E+03
   0.276603E-02   0.321432E+03
   0.282191E-02   0.326806E+03
   0.287892E-02   0.332249E+03
   0.293708E-02   0.337758E+03
   0.299641E-02   0.343334E+03
   0.305694E-02   0.348978E+03
   0.311870E-02   0.354687E+03
   0.318170E-02   0.360463E+03
   0.324597E-02   0.366305E+03
   0.331155E-02   0.372213E+03
   0.337844E-02   0.378185E+03
   0.344669E-02   0.384223E+03
   0.351632E-02   0.390324E+03
   0.358735E-02   0.396488E+03
   0.365982E-02   0.402715E+03
   0.373376E-02   0.409003E+03
   0.380918E-02   0.415353E+03
   0.388613E-02   0.421762E+03
   0.396464E-02   0.428231E+03
   0.404473E-02   0.434757E+03
   0.412644E-02   0.441340E+03
   0.420980E-02   0.447978E+03
   0.429484E-02   0.454671E+03
   0.438160E-02   0.461416E+03
   0.447012E-02   0.468212E+03
   0.456042E-02   0.475058E+03
   0.465255E-02   0.481951E+03
   0.474653E-02   0.488891E+03
   0.484242E-02   0.495874E+03
   0.494024E-02   0.502899E+03
   0.504004E-02   0.509964E+03
   0.514186E-02   0.517067E+03
   0.524573E-02   0.524205E+03
   0.535170E-02   0.531376E+03
   0.545981E-02   0.538576E+03
   0.557011E-02   0.545804E+03
   0.568263E-02   0.553057E+03
   0.579743E-02   0.560331E+03
   0.591455E-02   0.567624E+03
   0.603403E-02   0.574932E+03
   0.615592E-02   0.582252E+03
   0.628028E-02   0.589580E+03
   0.640715E-02   0.596913E+03
   0.653658E-02   0.604247E+03
   0.666863E-02   0.611578E+03
   0.680335E-02   0.618901E+03
   0.694078E-02   0.626214E+03
   0.708100E-02   0.633510E+03
   0.722404E-02   0.640786E+03
   0.736998E-02   0.648037E+03
   0.751886E-02   0.655258E+03
   0.767075E-02   0.662444E+03
   0.782571E-02   0.669589E+03
   0.798380E-02   0.676689E+03
   0.814509E-02   0.683738E+03
   0.830963E-02   0.690730E+03
   0.847750E-02   0.697659E+03
   0.864875E-02   0.704520E+03
